"Story","Title","Result","Date","Stability","Duration (s)"
"Categories test","This will get all the categories","SUCCESS","2022-06-07T20:52:00.211+01:00[Europe/London]","0.0","11.88"
"Categories test","This will create new categories","SUCCESS","2022-06-07T20:52:12.215+01:00[Europe/London]","0.0","1.58"
"Categories test","Verify if categories is created","SUCCESS","2022-06-07T20:52:13.800+01:00[Europe/London]","0.0","0.41"
"Categories test","Update the information and verify if it is updated","SUCCESS","2022-06-07T20:52:14.216+01:00[Europe/London]","0.0","0.19"
"Utilities test","This will get the utilities healthcheck","SUCCESS","2022-06-07T20:52:14.389+01:00[Europe/London]","0.0","2.23"
"Categories test","Deleting categories and verify if it is deleted","SUCCESS","2022-06-07T20:52:14.410+01:00[Europe/London]","0.0","2.2"
"Products test","This will get all products list","SUCCESS","2022-06-07T20:52:18.759+01:00[Europe/London]","0.0","0.85"
"Products test","This will create a new product","SUCCESS","2022-06-07T20:52:19.613+01:00[Europe/London]","0.0","0.78"
"Products test","verify if Product is created","SUCCESS","2022-06-07T20:52:20.389+01:00[Europe/London]","0.0","0.05"
"Products test","Update the product information and verify the updated information","SUCCESS","2022-06-07T20:52:20.436+01:00[Europe/London]","0.0","0.13"
"Products test","Delete the product and verify if the product is deleted","SUCCESS","2022-06-07T20:52:20.567+01:00[Europe/London]","0.0","0.09"
"Services test","This will get all the services list","SUCCESS","2022-06-07T20:52:20.823+01:00[Europe/London]","0.0","0.09"
"Services test","This will create new services","SUCCESS","2022-06-07T20:52:20.911+01:00[Europe/London]","0.0","0.12"
"Services test","Verify if the information was added to servcies ","SUCCESS","2022-06-07T20:52:21.031+01:00[Europe/London]","0.0","0.04"
"Services test","Update the services and verify information","SUCCESS","2022-06-07T20:52:21.072+01:00[Europe/London]","0.0","0.1"
"Services test","Delete services by Id and verify if the services is deleted","SUCCESS","2022-06-07T20:52:21.173+01:00[Europe/London]","0.0","0.12"
"Stores test","This will get all the stores","SUCCESS","2022-06-07T20:52:21.446+01:00[Europe/London]","0.0","0.15"
"Stores test","This will create a new stores","SUCCESS","2022-06-07T20:52:21.593+01:00[Europe/London]","0.0","0.1"
"Stores test","Verify if the information was added to store","SUCCESS","2022-06-07T20:52:21.693+01:00[Europe/London]","0.0","0.03"
"Stores test","Update the stores information and verify the updated information","SUCCESS","2022-06-07T20:52:21.723+01:00[Europe/London]","0.0","0.08"
"Stores test","Delete the store and verify the store is deleted","SUCCESS","2022-06-07T20:52:21.807+01:00[Europe/London]","0.0","0.11"
